🔍 Security tools needed: mythril, manticore, solhint
📦 Installing bundled security tools...
✅ Security tools installed successfully
Signing with throwaway deployer key -> address 0x16f57d43dA79DA9005DB73B1A91b23fdD225D23a
Installing Solidity compiler v0.8.19...
Solidity compiler v0.8.19 installed successfully
Attached to TrustLedger at 0x5E415aa5F5942f8341BBA1518EA9548F80C34891
Sending 100 real transactions (zero gas)...

Round    1/100: block_valid=True  finalized=True  mean_association=1.000 -> tx a711b15245cdb483...
Round    2/100: block_valid=True  finalized=True  mean_association=1.000 -> tx 4117181e32130e51...
Round    3/100: block_valid=True  finalized=True  mean_association=0.952 -> tx eaad5e3e7a0e5108...
Round    4/100: block_valid=True  finalized=True  mean_association=0.964 -> tx 91346ce5cd3f82e9...
Round    5/100: block_valid=True  finalized=True  mean_association=0.943 -> tx 071d941678bf643f...
Round    6/100: block_valid=True  finalized=True  mean_association=0.952 -> tx 23af2ec069f36142...
Round    7/100: block_valid=False finalized=False mean_association=0.939 -> tx d2b9182f013a97d1...
Round    8/100: block_valid=True  finalized=True  mean_association=0.946 -> tx 1a8c47c625d5bedd...
  (nonce race, retrying in 3.0s -- attempt 1/5)
Round    9/100: block_valid=False finalized=False mean_association=0.937 -> tx af1c38cc22d6ea0c...
Round   10/100: block_valid=True  finalized=True  mean_association=0.943 -> tx 2b25873b76b2fad4...
  (nonce race, retrying in 3.0s -- attempt 1/5)
Round   11/100: block_valid=True  finalized=True  mean_association=0.948 -> tx 53dc0e214ee06829...
  (nonce race, retrying in 3.0s -- attempt 1/5)
Round   12/100: block_valid=True  finalized=True  mean_association=0.952 -> tx 50d5fd49dede0c57...
Round   13/100: block_valid=True  finalized=True  mean_association=0.956 -> tx cc2fca754e6e6658...
Round   14/100: block_valid=False finalized=False mean_association=0.959 -> tx 8655969a696b92cd...
Round   15/100: block_valid=True  finalized=True  mean_association=0.962 -> tx 077fa4234611503b...
Round   16/100: block_valid=True  finalized=True  mean_association=0.964 -> tx 841cdeb6e75d252b...
Round   17/100: block_valid=True  finalized=True  mean_association=0.966 -> tx 887c6d2c221cadf5...
Round   18/100: block_valid=True  finalized=True  mean_association=0.968 -> tx 3ec8c9ce7c07a578...
Round   19/100: block_valid=True  finalized=True  mean_association=0.970 -> tx cdd6c4e91e38e3d6...
  (nonce race, retrying in 3.0s -- attempt 1/5)
Round   20/100: block_valid=False finalized=False mean_association=0.964 -> tx eaa0c751e9131afc...
Round   21/100: block_valid=True  finalized=True  mean_association=0.966 -> tx 6e3dba0eb9afcb59...
Round   22/100: block_valid=True  finalized=True  mean_association=0.968 -> tx 71e922ba721cdac3...
Round   23/100: block_valid=True  finalized=True  mean_association=0.969 -> tx afbfe821b9121d95...
Round   24/100: block_valid=True  finalized=True  mean_association=0.970 -> tx c16cc4bf6677995a...
Round   25/100: block_valid=True  finalized=True  mean_association=0.971 -> tx 459e3b8135f04331...
