Dataset,Model,Task,Accuracy,Precision,Recall,F1,FPR
IoTForge Pro,CNN,binary,0.9600,0.8885,0.9549,0.9178,0.0519
IoTForge Pro,CNN,multiclass,0.8250,0.8209,0.8251,0.8197,N/A
IoTForge Pro,LSTM,binary,0.9750,0.9242,0.9746,0.9473,0.0260
IoTForge Pro,LSTM,multiclass,0.8917,0.8920,0.8906,0.8895,N/A
IoTForge Pro,BiLSTM,binary,0.9750,0.9212,0.9801,0.9478,0.0130
IoTForge Pro,BiLSTM,multiclass,0.8783,0.8756,0.8793,0.8763,N/A
ToN-IoT,CNN,binary,0.9833,0.9651,0.9788,0.9718,0.0283
ToN-IoT,CNN,multiclass,0.8567,0.8624,0.8594,0.8551,N/A
ToN-IoT,LSTM,binary,0.9817,0.9581,0.9815,0.9693,0.0189
ToN-IoT,LSTM,multiclass,0.8850,0.8885,0.8861,0.8858,N/A
ToN-IoT,BiLSTM,binary,0.9800,0.9541,0.9804,0.9666,0.0189
ToN-IoT,BiLSTM,multiclass,0.9000,0.9033,0.9022,0.9022,N/A
IoT-CAD,CNN,binary,0.9667,0.9302,0.9612,0.9447,0.0472
IoT-CAD,CNN,multiclass,0.8100,0.8156,0.8148,0.8121,N/A
IoT-CAD,LSTM,binary,0.9633,0.9248,0.9555,0.9392,0.0566
IoT-CAD,LSTM,multiclass,0.8150,0.8196,0.8170,0.8153,N/A
IoT-CAD,BiLSTM,binary,0.9633,0.9370,0.9370,0.9370,0.1038
IoT-CAD,BiLSTM,multiclass,0.8317,0.8356,0.8320,0.8317,N/A
WUSTL-IIoT-2021,CNN,binary,0.9683,0.9643,0.9598,0.9620,0.0615
WUSTL-IIoT-2021,CNN,multiclass,0.9400,0.9396,0.9408,0.9396,N/A
WUSTL-IIoT-2021,LSTM,binary,0.9800,0.9792,0.9729,0.9760,0.0447
WUSTL-IIoT-2021,LSTM,multiclass,0.9567,0.9575,0.9564,0.9568,N/A
WUSTL-IIoT-2021,BiLSTM,binary,0.9733,0.9760,0.9601,0.9676,0.0726
WUSTL-IIoT-2021,BiLSTM,multiclass,0.9583,0.9605,0.9571,0.9583,N/A
